Date,Price_Type,National_Price
2016-01-01,GR-2,1188.29
2016-02-01,GR-2,1165.88
2016-03-01,GR-2,1209.56
2016-04-01,GR-2,1210.22
2016-05-01,GR-2,1242.46
2016-06-01,GR-2,1301.42
2016-07-01,GR-2,1248.75
2016-08-01,GR-2,1230.58
2016-09-01,GR-2,1235.41
2016-10-01,GR-2,1242.38
2016-11-01,GR-2,1292.71
2016-12-01,GR-2,1151.67
2017-01-01,GR-2,1041.08
2017-02-01,GR-2,1058.86
2017-03-01,GR-2,1017.3
2017-04-01,GR-2,928.89
2017-05-01,GR-2,900.81
2017-06-01,GR-2,876.26
2017-07-01,GR-2,647.21
2017-08-01,GR-2,646.38
2017-09-01,GR-2,655.85
2017-10-01,GR-2,613.09
2017-11-01,GR-2,605.63
2017-12-01,GR-2,542.5
2018-01-01,GR-2,577.36
2018-02-01,GR-2,596.29
2018-03-01,GR-2,602.29
2018-04-01,GR-2,588.55
2018-05-01,GR-2,587.54
2018-06-01,GR-2,577.88
2018-07-01,GR-2,511.97
2018-08-01,GR-2,487.19
2018-09-01,GR-2,548.95
2018-10-01,GR-2,562.83
2018-11-01,GR-2,560.48
2018-12-01,GR-2,577.56
2019-01-01,GR-2,518.56
2019-02-01,GR-2,532.64
2019-03-01,GR-2,542.38
2019-04-01,GR-2,543.56
2019-05-01,GR-2,525.39
2019-06-01,GR-2,487.5
2019-07-01,GR-2,415.83
2019-08-01,GR-2,388.22
2019-09-01,GR-2,393.17
2019-10-01,GR-2,404.23
2019-11-01,GR-2,447.38
2019-12-01,GR-2,580.2
2020-01-01,GR-2,497.5
2020-02-01,GR-2,475.0
2020-03-01,GR-2,495.0
2020-04-01,GR-2,450.0
2020-05-01,GR-2,442.85
2020-06-01,GR-2,431.25
2020-07-01,GR-2,457.5
2020-08-01,GR-2,490.0
2020-09-01,GR-2,500.0
2020-10-01,GR-2,525.0
2020-11-01,GR-2,525.0
2020-12-01,GR-2,512.75
2021-01-01,GR-2,500.0
2021-02-01,GR-2,526.67
2021-03-01,GR-2,543.33
2021-04-01,GR-2,560.25
2021-05-01,GR-2,574.75
2021-06-01,GR-2,585.0
2021-07-01,GR-2,600.0
2021-08-01,GR-2,723.75
2021-09-01,GR-2,758.75
2021-10-01,GR-2,786.54
2021-11-01,GR-2,800.0
2021-12-01,GR-2,970.0
2022-01-01,GR-2,958.75
2022-02-01,GR-2,1000.0
2022-03-01,GR-2,1000.0
2022-04-01,GR-2,1298.25
2022-05-01,GR-2,1423.65
2022-06-01,GR-2,1500.0
2022-07-01,GR-2,1356.25
2022-08-01,GR-2,1145.75
2022-09-01,GR-2,1158.32
2022-10-01,GR-2,1356.25
2022-11-01,GR-2,1253.25
2022-12-01,GR-2,1853.75
2023-01-01,GR-2,1622.75
2023-02-01,GR-2,1585.0
2023-03-01,GR-2,985.45
2023-04-01,GR-2,782.25
2023-05-01,GR-2,687.5
2023-06-01,GR-2,1123.14
2023-07-01,GR-2,1200.0
2023-08-01,GR-2,1862.5
2023-09-01,GR-2,1525.0
2023-10-01,GR-2,1550.0
2023-11-01,GR-2,1720.63
2023-12-01,GR-2,1668.75
2024-01-01,GR-2,1774.38
2024-02-01,GR-2,1693.75
2024-03-01,GR-2,1425.0
2024-04-01,GR-2,1387.5
2024-05-01,GR-2,1398.75
2024-06-01,GR-2,1450.0
2024-07-01,GR-2,1525.0
2024-08-01,GR-2,1670.63
2024-09-01,GR-2,1631.25
2024-10-01,GR-2,1612.5
2024-11-01,GR-2,1583.33
2024-12-01,GR-2,1668.75
2025-01-01,GR-2,1766.67
2025-02-01,GR-2,1537.5
2025-03-01,GR-2,1806.25
